Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0880186,7,2025-03-23,"King of the Hill: Bobby Rae","King of the Hill: Bobby Rae",https://www.imdb.com/title/tt0880186,TV Episode,6.8,22,2007,"Animation, Drama, Comedy",335,"2007-09-30","Ken Wong,Wesley Archer"
tt4772188,8,2025-03-22,"Flow","Straume",https://www.imdb.com/title/tt4772188,Movie,7.9,85,2024,"Animation, Adventure, Fantasy, Family",61595,"2024-08-29","Gints Zilbalodis"
tt1111013,7,2025-03-19,"King of the Hill: Suite Smells of Excess","King of the Hill: Suite Smells of Excess",https://www.imdb.com/title/tt1111013,TV Episode,7.6,23,2007,"Animation, Drama, Comedy",359,"2007-09-23","Michael Loya,Wesley Archer"
tt1037478,7,2025-03-18,"King of the Hill: Bill, Bulk and the Body Buddies","King of the Hill: Bill, Bulk and the Body Buddies",https://www.imdb.com/title/tt1037478,TV Episode,7.6,22,2007,"Animation, Drama, Comedy",361,"2007-05-20","Tricia Garcia,Wesley Archer"
tt1037479,8,2025-03-18,"King of the Hill: Lucky's Wedding Suit","King of the Hill: Lucky's Wedding Suit",https://www.imdb.com/title/tt1037479,TV Episode,7.3,22,2007,"Animation, Drama, Comedy",312,"2007-05-20","Julius Wu,Wesley Archer"
tt1033229,7,2025-03-17,"King of the Hill: Hair Today, Gone Today","King of the Hill: Hair Today, Gone Today",https://www.imdb.com/title/tt1033229,TV Episode,7.0,23,2007,"Animation, Drama, Comedy",304,"2007-05-13","Kyoung Hee Lim,Wesley Archer"
tt1028739,7,2025-03-17,"King of the Hill: Peggy's Gone to Pots","King of the Hill: Peggy's Gone to Pots",https://www.imdb.com/title/tt1028739,TV Episode,7.1,23,2007,"Animation, Drama, Comedy",316,"2007-05-06","Robin Brigstocke,Wesley Archer"
tt1028738,8,2025-03-13,"King of the Hill: Grand Theft Arlen","King of the Hill: Grand Theft Arlen",https://www.imdb.com/title/tt1028738,TV Episode,8.0,23,2007,"Animation, Drama, Comedy",371,"2007-04-29","Ronald Rubio,Wesley Archer"
tt1022407,7,2025-03-13,"King of the Hill: The Passion of the Dauterive","King of the Hill: The Passion of the Dauterive",https://www.imdb.com/title/tt1022407,TV Episode,7.0,23,2007,"Animation, Drama, Comedy",316,"2007-04-29","Anthony Chun,Wesley Archer"
tt1022406,7,2025-03-12,"King of the Hill: Glen Peggy Glen Ross","King of the Hill: Glen Peggy Glen Ross",https://www.imdb.com/title/tt1022406,TV Episode,6.8,22,2007,"Animation, Drama, Comedy",319,"2007-04-22","Tony Kluck,Wesley Archer"
tt0995437,6,2025-03-11,"King of the Hill: Hank Gets Dusted","King of the Hill: Hank Gets Dusted",https://www.imdb.com/title/tt0995437,TV Episode,7.0,22,2007,"Animation, Drama, Comedy",354,"2007-04-01","Wesley Archer"
tt0995438,6,2025-03-10,"King of the Hill: Luanne Gets Lucky","King of the Hill: Luanne Gets Lucky",https://www.imdb.com/title/tt0995438,TV Episode,6.8,22,2007,"Animation, Drama, Comedy",321,"2007-03-25","Wesley Archer"
tt0961789,7,2025-03-09,"King of the Hill: Blood and Sauce","King of the Hill: Blood and Sauce",https://www.imdb.com/title/tt0961789,TV Episode,7.2,22,2007,"Animation, Drama, Comedy",338,"2007-02-18","Tricia Garcia,Wesley Archer"
tt0961790,7,2025-03-08,"King of the Hill: Serpunt","King of the Hill: Serpunt",https://www.imdb.com/title/tt0961790,TV Episode,7.1,22,2007,"Animation, Drama, Comedy",350,"2007-02-11","Robin Brigstocke,Wesley Archer"
tt0945127,9,2025-03-08,"King of the Hill: The Peggy Horror Picture Show","King of the Hill: The Peggy Horror Picture Show",https://www.imdb.com/title/tt0945127,TV Episode,7.8,22,2007,"Animation, Drama, Comedy",422,"2007-01-28","Wesley Archer"
tt0816025,6,2025-03-06,"King of the Hill: Edu-macating Lucky","King of the Hill: Edu-macating Lucky",https://www.imdb.com/title/tt0816025,TV Episode,7.3,23,2006,"Animation, Drama, Comedy",321,"2006-05-14","Adam Kuhlman,Wesley Archer"
tt0819187,9,2025-03-06,"King of the Hill: Hank's Bully","King of the Hill: Hank's Bully",https://www.imdb.com/title/tt0819187,TV Episode,7.4,23,2006,"Animation, Drama, Comedy",364,"2006-05-07","Kyoung Hee Lim,Wesley Archer"
tt0819188,8,2025-03-06,"King of the Hill: The Texas Panhandler","King of the Hill: The Texas Panhandler",https://www.imdb.com/title/tt0819188,TV Episode,7.6,23,2006,"Animation, Drama, Comedy",340,"2006-04-30","Ronald Rubio,Ken Wong,Wesley Archer"
tt0819184,7,2025-03-06,"King of the Hill: 24 Hour Propane People","King of the Hill: 24 Hour Propane People",https://www.imdb.com/title/tt0819184,TV Episode,6.9,23,2006,"Animation, Drama, Comedy",319,"2006-04-23","Robin Brigstocke,Wesley Archer"
tt0790167,7,2025-03-06,"King of the Hill: Church Hopping","King of the Hill: Church Hopping",https://www.imdb.com/title/tt0790167,TV Episode,7.2,22,2006,"Animation, Drama, Comedy",344,"2006-04-09","Robin Brigstocke,Wesley Archer"
tt0819186,7,2025-03-04,"King of the Hill: Hank Fixes Everything","King of the Hill: Hank Fixes Everything",https://www.imdb.com/title/tt0819186,TV Episode,6.8,23,2006,"Animation, Drama, Comedy",313,"2006-04-02","Dominic Polcino,Wesley Archer"
tt0819189,7,2025-03-04,"King of the Hill: The Year of Washing Dangerously","King of the Hill: The Year of Washing Dangerously",https://www.imdb.com/title/tt0819189,TV Episode,7.2,23,2006,"Animation, Drama, Comedy",310,"2006-03-26","Cyndi Tang,Ken Wong,Wesley Archer"
tt0819185,8,2025-03-03,"King of the Hill: Business Is Picking Up","King of the Hill: Business Is Picking Up",https://www.imdb.com/title/tt0819185,TV Episode,7.7,23,2006,"Animation, Drama, Comedy",346,"2006-03-19","Matt Engstrom,Wesley Archer"
tt0764043,7,2025-03-01,"King of the Hill: You Gotta Believe (In Moderation)","King of the Hill: You Gotta Believe (In Moderation)",https://www.imdb.com/title/tt0764043,TV Episode,6.9,23,2006,"Animation, Drama, Comedy",317,"2006-01-29","Yvette Kaplan,Wesley Archer"
tt0764028,7,2025-03-01,"King of the Hill: Orange You Sad I Did Say Banana?","King of the Hill: Orange You Sad I Did Say Banana?",https://www.imdb.com/title/tt0764028,TV Episode,7.2,23,2005,"Animation, Drama, Comedy",322,"2005-11-11","Adam Kuhlman,Wesley Archer"
tt0620192,9,2025-02-27,"King of the Hill: A Portrait of the Artist as a Young Clown","King of the Hill: A Portrait of the Artist as a Young Clown",https://www.imdb.com/title/tt0620192,TV Episode,7.2,23,2005,"Animation, Drama, Comedy",338,"2005-12-04","Kyoung Hee Lim,Wesley Archer"
tt0764021,7,2025-02-27,"King of the Hill: Harlottown","King of the Hill: Harlottown",https://www.imdb.com/title/tt0764021,TV Episode,7.3,23,2005,"Animation, Drama, Comedy",343,"2005-11-20","Tricia Garcia,Wesley Archer"
tt0764012,7,2025-02-27,"King of the Hill: Bill's House","King of the Hill: Bill's House",https://www.imdb.com/title/tt0764012,TV Episode,7.3,23,2005,"Animation, Drama, Comedy",321,"2005-11-06","Robin Brigstocke,Wesley Archer"
tt0764016,7,2025-02-25,"King of the Hill: Bystand Me","King of the Hill: Bystand Me",https://www.imdb.com/title/tt0764016,TV Episode,7.1,23,2005,"Animation, Drama, Comedy",314,"2005-09-25","Dominic Polcino,Wesley Archer"
tt0764020,8,2025-02-24,"King of the Hill: Hank's on Board","King of the Hill: Hank's on Board",https://www.imdb.com/title/tt0764020,TV Episode,7.8,23,2005,"Animation, Drama, Comedy",347,"2005-09-18","Allan Jacobsen,Wesley Archer"
tt0620248,7,2025-02-24,"King of the Hill: It Ain't Over 'Til the Fat Neighbor Sings","King of the Hill: It Ain't Over 'Til the Fat Neighbor Sings",https://www.imdb.com/title/tt0620248,TV Episode,7.6,22,2005,"Animation, Drama, Comedy",351,"2005-05-15","Julius Wu,Wesley Archer"
tt0620206,8,2025-02-24,"King of the Hill: Bobby on Track","King of the Hill: Bobby on Track",https://www.imdb.com/title/tt0620206,TV Episode,7.6,22,2005,"Animation, Drama, Comedy",327,"2005-05-08","Tricia Garcia,Wesley Archer"
tt0769204,6,2025-02-23,"King of the Hill: Gone with the Windstorm","King of the Hill: Gone with the Windstorm",https://www.imdb.com/title/tt0769204,TV Episode,7.4,22,2005,"Animation, Drama, Comedy",329,"2005-05-01","Yvette Kaplan,Wesley Archer"
tt0034583,9,2025-02-23,"Casablanca","Casablanca",https://www.imdb.com/title/tt0034583,Movie,8.5,102,1942,"Romance, War, Drama",628153,"1943-01-23","Michael Curtiz"
tt0764034,8,2025-02-22,"King of the Hill: Smoking and the Bandit","King of the Hill: Smoking and the Bandit",https://www.imdb.com/title/tt0764034,TV Episode,7.6,23,2005,"Animation, Drama, Comedy",338,"2005-04-17","Cyndi Tang,Wesley Archer"
tt0764030,8,2025-02-22,"King of the Hill: Redcorn Gambles with His Future","King of the Hill: Redcorn Gambles with His Future",https://www.imdb.com/title/tt0764030,TV Episode,7.1,22,2005,"Animation, Drama, Comedy",331,"2005-04-10","Matt Engstrom"
tt0620199,7,2025-02-21,"King of the Hill: Arlen City Bomber","King of the Hill: Arlen City Bomber",https://www.imdb.com/title/tt0620199,TV Episode,7.0,23,2005,"Animation, Drama, Comedy",318,"2005-03-27","Wesley Archer"
tt0620208,7,2025-02-21,"King of the Hill: Care-Takin' Care of Business","King of the Hill: Care-Takin' Care of Business",https://www.imdb.com/title/tt0620208,TV Episode,7.2,22,2005,"Animation, Drama, Comedy",323,"2005-03-13","Cyndi Tang,Wesley Archer"
tt0620271,8,2025-02-20,"King of the Hill: Mutual of Omabwah","King of the Hill: Mutual of Omabwah",https://www.imdb.com/title/tt0620271,TV Episode,8.1,23,2005,"Animation, Drama, Comedy",377,"2005-03-06","Boo Hwan Lim,Kyoung Hee Lim,Dominic Polcino,Wesley Archer"
tt0764017,7,2025-02-20,"King of the Hill: Enrique-cilable Differences","King of the Hill: Enrique-cilable Differences",https://www.imdb.com/title/tt0764017,TV Episode,6.5,23,2005,"Animation, Drama, Comedy",342,"2005-02-20","Dominic Polcino,Wesley Archer"
tt0620319,7,2025-02-19,"King of the Hill: The Petriot Act","King of the Hill: The Petriot Act",https://www.imdb.com/title/tt0620319,TV Episode,6.9,22,2005,"Animation, Drama, Comedy",363,"2005-02-13","Robin Brigstocke,Wesley Archer"
tt0769202,8,2025-02-19,"King of the Hill: Dale to the Chief","King of the Hill: Dale to the Chief",https://www.imdb.com/title/tt0769202,TV Episode,7.7,22,2005,"Animation, Drama, Comedy",364,"2005-01-30","Anthony Lioi,Wesley Archer"
tt0764042,7,2025-02-18,"King of the Hill: Yard, She Blows!","King of the Hill: Yard, She Blows!",https://www.imdb.com/title/tt0764042,TV Episode,7.5,22,2005,"Animation, Drama, Comedy",346,"2005-01-23","Allan Jacobsen,Wesley Archer"
tt0769203,8,2025-02-13,"King of the Hill: Death Buys a Timeshare","King of the Hill: Death Buys a Timeshare",https://www.imdb.com/title/tt0769203,TV Episode,7.1,22,2005,"Animation, Drama, Comedy",338,"2005-01-16","Boo Hwan Lim,Kyoung Hee Lim,Wesley Archer"
tt0620270,8,2025-02-13,"King of the Hill: Ms. Wakefield","King of the Hill: Ms. Wakefield",https://www.imdb.com/title/tt0620270,TV Episode,7.2,23,2004,"Animation, Drama, Comedy",402,"2004-12-19","Allan Jacobsen,Wesley Archer"
tt0620193,7,2025-02-13,"King of the Hill: A Rover Runs Through It","King of the Hill: A Rover Runs Through It",https://www.imdb.com/title/tt0620193,TV Episode,7.5,23,2004,"Animation, Drama, Comedy",386,"2004-11-07","Tricia Garcia,Wesley Archer"
tt0620304,9,2025-02-13,"King of the Hill: Talking Shop","King of the Hill: Talking Shop",https://www.imdb.com/title/tt0620304,TV Episode,7.5,23,2004,"Animation, Drama, Comedy",371,"2004-05-23","Anthony Lioi,Wesley Archer"
tt0620320,6,2025-02-12,"King of the Hill: The Redneck on Rainey Street","King of the Hill: The Redneck on Rainey Street",https://www.imdb.com/title/tt0620320,TV Episode,7.8,22,2004,"Animation, Drama, Comedy",377,"2004-05-16","Gary McCarver,Wesley Archer"
tt0620229,8,2025-02-11,"King of the Hill: Hank's Back","King of the Hill: Hank's Back",https://www.imdb.com/title/tt0620229,TV Episode,8.0,23,2004,"Animation, Drama, Comedy",503,"2004-05-09","Robin Brigstocke,Wesley Archer"
tt0108778,9,2025-02-10,"Friends","Friends",https://www.imdb.com/title/tt0108778,TV Series,8.9,22,1994,"Romance, Comedy",1136920,"1995-04-28",
tt0620302,8,2025-02-01,"King of the Hill: Stressed for Success","King of the Hill: Stressed for Success",https://www.imdb.com/title/tt0620302,TV Episode,7.7,22,2004,"Animation, Drama, Comedy",351,"2004-05-02","Tricia Garcia,Wesley Archer"
tt0620226,7,2025-01-30,"King of the Hill: Girl, You'll Be a Giant Soon","King of the Hill: Girl, You'll Be a Giant Soon",https://www.imdb.com/title/tt0620226,TV Episode,6.9,23,2004,"Animation, Drama, Comedy",329,"2004-04-25","Cyndi Tang,Wesley Archer"
tt13424098,10,2025-01-30,"Severance: The We We Are","Severance: The We We Are",https://www.imdb.com/title/tt13424098,TV Episode,9.7,40,2022,"Drama, Thriller, Mystery, Sci-Fi",27321,"2022-04-08","Ben Stiller"
tt0620241,8,2025-01-29,"King of the Hill: How I Learned to Stop Worrying and Love the Alamo","King of the Hill: How I Learned to Stop Worrying and Love the Alamo",https://www.imdb.com/title/tt0620241,TV Episode,6.9,22,2004,"Animation, Drama, Comedy",325,"2004-04-18","Brian Sheesley,Wesley Archer"
tt0620214,6,2025-01-28,"King of the Hill: DaleTech","King of the Hill: DaleTech",https://www.imdb.com/title/tt0620214,TV Episode,7.4,22,2004,"Animation, Drama, Comedy",335,"2004-03-28","Dominic Polcino,Wesley Archer"
tt0764010,8,2025-01-23,"King of the Hill: Après Hank, le Deluge","King of the Hill: Après Hank, le Deluge",https://www.imdb.com/title/tt0764010,TV Episode,7.4,22,2004,"Animation, Drama, Comedy",355,"2004-02-21","Gary McCarver,Wesley Archer"
tt0620213,8,2025-01-23,"King of the Hill: Dale Be Not Proud","King of the Hill: Dale Be Not Proud",https://www.imdb.com/title/tt0620213,TV Episode,7.3,22,2004,"Animation, Drama, Comedy",340,"2004-03-14","Anthony Lioi,Wesley Archer"
tt0620211,7,2025-01-23,"King of the Hill: Cheer Factor","King of the Hill: Cheer Factor",https://www.imdb.com/title/tt0620211,TV Episode,6.9,22,2004,"Animation, Drama, Comedy",332,"2004-03-07","Boo Hwan Lim,Kyoung Hee Lim,Wesley Archer"
tt0620286,8,2025-01-22,"King of the Hill: Phish and Wildlife","King of the Hill: Phish and Wildlife",https://www.imdb.com/title/tt0620286,TV Episode,7.4,22,2004,"Animation, Drama, Comedy",369,"2004-02-22","Matt Engstrom,Wesley Archer"
tt0620272,7,2025-01-21,"King of the Hill: My Hair Lady","King of the Hill: My Hair Lady",https://www.imdb.com/title/tt0620272,TV Episode,7.9,22,2004,"Animation, Drama, Comedy",379,"2004-02-15","Allan Jacobsen,Wesley Archer"
tt0620307,7,2025-01-16,"King of the Hill: That's What She Said","King of the Hill: That's What She Said",https://www.imdb.com/title/tt0620307,TV Episode,7.4,22,2004,"Animation, Drama, Comedy",390,"2004-02-08","Cyndi Tang,Wesley Archer"
tt0620209,7,2025-01-16,"King of the Hill: Ceci N'est Pas Une King of the Hill","King of the Hill: Ceci N'est Pas Une King of the Hill",https://www.imdb.com/title/tt0620209,TV Episode,7.3,22,2004,"Animation, Drama, Comedy",347,"2004-01-25","Tricia Garcia,Wesley Archer"
tt0620194,8,2025-01-13,"King of the Hill: After the Mold Rush","King of the Hill: After the Mold Rush",https://www.imdb.com/title/tt0620194,TV Episode,7.5,23,2003,"Animation, Drama, Comedy",381,"2003-12-07","Dominic Polcino,Wesley Archer"
tt0620221,8,2025-01-13,"King of the Hill: Flirting with the Master","King of the Hill: Flirting with the Master",https://www.imdb.com/title/tt0620221,TV Episode,6.7,23,2003,"Animation, Drama, Comedy",333,"2003-11-30","Anthony Lioi,Wesley Archer"
tt0620315,8,2025-01-12,"King of the Hill: The Incredible Hank","King of the Hill: The Incredible Hank",https://www.imdb.com/title/tt0620315,TV Episode,8.0,23,2003,"Animation, Drama, Comedy",388,"2003-11-23","Wesley Archer"
tt0620273,8,2025-01-12,"King of the Hill: New Cowboy on the Block","King of the Hill: New Cowboy on the Block",https://www.imdb.com/title/tt0620273,TV Episode,7.1,23,2003,"Animation, Drama, Comedy",356,"2003-11-16","Cyndi Tang,Klay Hall"
tt0620295,7,2025-01-10,"King of the Hill: Reborn to Be Wild","King of the Hill: Reborn to Be Wild",https://www.imdb.com/title/tt0620295,TV Episode,7.6,23,2003,"Animation, Drama, Comedy",397,"2003-11-09","Dominic Polcino,Wesley Archer"
tt0620279,8,2025-01-09,"King of the Hill: Patch Boomhauer","King of the Hill: Patch Boomhauer",https://www.imdb.com/title/tt0620279,TV Episode,7.6,22,2003,"Animation, Drama, Comedy",461,"2003-11-02","Anthony Lioi,Wesley Archer"
tt0620337,8,2025-01-09,"King of the Hill: Witches of East Arlen","King of the Hill: Witches of East Arlen",https://www.imdb.com/title/tt0620337,TV Episode,7.5,23,2003,"Animation, Drama, Comedy",394,"2003-05-18","Matt Engstrom,Klay Hall"
tt0620265,8,2025-01-09,"King of the Hill: Maid in Arlen","King of the Hill: Maid in Arlen",https://www.imdb.com/title/tt0620265,TV Episode,7.7,23,2003,"Animation, Drama, Comedy",353,"2003-05-18","Boo Hwan Lim,Kyoung Hee Lim,Klay Hall"
tt0620274,9,2025-01-08,"King of the Hill: Night and Deity","King of the Hill: Night and Deity",https://www.imdb.com/title/tt0620274,TV Episode,7.9,23,2003,"Animation, Drama, Comedy",391,"2003-05-11","Gary McCarver,Klay Hall"
tt0620294,8,2025-01-07,"King of the Hill: Racist Dawg","King of the Hill: Racist Dawg",https://www.imdb.com/title/tt0620294,TV Episode,7.3,23,2003,"Animation, Drama, Comedy",400,"2003-05-04","Michael Dante DiMartino,Klay Hall"
tt0620202,8,2025-01-07,"King of the Hill: Be True to Your Fool","King of the Hill: Be True to Your Fool",https://www.imdb.com/title/tt0620202,TV Episode,7.6,30,2003,"Animation, Drama, Comedy",356,"2003-04-27","Anthony Lioi,Klay Hall"
tt13406094,8,2025-01-07,"The White Lotus","The White Lotus",https://www.imdb.com/title/tt13406094,TV Series,8.0,,2021,"Comedy, Drama",250132,"2021-08-16",
tt0620245,7,2025-01-02,"King of the Hill: I Never Promised You an Organic Garden","King of the Hill: I Never Promised You an Organic Garden",https://www.imdb.com/title/tt0620245,TV Episode,7.1,23,2003,"Animation, Drama, Comedy",345,"2003-04-13","Adam Kuhlman,Klay Hall"
tt0620314,6,2024-12-31,"King of the Hill: The Good Buck","King of the Hill: The Good Buck",https://www.imdb.com/title/tt0620314,TV Episode,7.0,23,2003,"Animation, Drama, Comedy",351,"2003-03-30","Allan Jacobsen,Klay Hall"
tt0764039,7,2024-12-26,"King of the Hill: The Miseducation of Bobby Hill","King of the Hill: The Miseducation of Bobby Hill",https://www.imdb.com/title/tt0764039,TV Episode,7.5,23,2003,"Animation, Drama, Comedy",342,"2003-03-16","Tricia Garcia,Klay Hall"
tt0620196,9,2024-12-25,"King of the Hill: An Officer and a Gentle Boy","King of the Hill: An Officer and a Gentle Boy",https://www.imdb.com/title/tt0620196,TV Episode,7.5,23,2003,"Animation, Drama, Comedy",355,"2003-03-09","Gary McCarver,Klay Hall"
